mercato;Brand;Anno Fondazione brand;Descrizione Brand;Nome Profumo;Sottofamiglia olfattiva;Anno;Naso Creatore;ml;Prezzo (€);Note di Testa;Note di Cuore;Note di Fondo;Nota Distintiva;Codice EAN;"Link Fragrantica;";Nazionalità
nicchia;Montale;2003;Pioniere dell’Oud con persistenza elevata.;Intense Tiaré;Bouquet Floreale;2005;Pierre Montale;100;125;Fiore di Tiaré;Cocco;Vaniglia, Gelsomino;Tiaré, Cocco;3760260451406;"https://www.fragrantica.it/perfume/Montale/Intense-Tiare-3266.html;";Francia
nicchia;S. Maria Novella;1221;La farmacia più antica del mondo, simbolo di Firenze.;Tabacco Toscano;Cuoiata Tabaccata;2008;SMN Team;100;135;Bergamotto, Foglie di Tè;Tabacco, Betulla;Vaniglia, Ambra, Muschio;Foglia di Tabacco, Ambra;8054133441053;https://www.fragrantica.it/perfume/Officina-Profumo-Farmaceutica-di-Santa-Maria-Novella/Tabacco-Toscano-12349.html;Italia
nicchia;Lorenzo Pazzaglia;2015;Brand italiano nato dalla passione di uno chef per fragranze estreme.;Sun-gria;Ambrata Dolce - Gourmand;2024;Lorenzo Pazzaglia;50 ml;145;Sangria, Arancia, Note Verdi;Vino Rosso, Pesca, Fragola;Vaniglia, Zucchero di Canna;Sangria, Uva, Arancia, Cannella;8054605151054;https://www.fragrantica.it/perfume/Lorenzo-Pazzaglia/Sun-gria-91899.html;Italia
nicchia;Simone Andreoli;2011;Diario olfattivo italiano che cattura ricordi di viaggi lontani.;Malibù;Agrumata Marina;2018;Simone Andreoli;100 ml;150;Lime, Note Verdi;Cocco, Zucchero;Rum, Sandalo;Lime, Cocco, Rum;8055641720012;https://www.fragrantica.it/perfume/Simone-Andreoli/Malibu-Party-in-the-Bay-49273.html;Italia
nicchia;Casamorati (Xerjoff);1888/2003;Lusso italiano che rievoca l'antica profumeria bolognese del XIX secolo con un'estetica Liberty.;Lira;Ambrata Dolce - Gourmand;2011;Chris Maurice;100 ml;270;Arancia Dolce, Lavanda;Caramello, Liquirizia;Vaniglia, Muschio;Caramello, Arancia, Vaniglia;8033488155070;https://www.fragrantica.it/perfume/Xerjoff/Lira-11801.html;Italia
nicchia;Francesca Bianchi;2016;Creazioni intime che esplorano il lato carnale delle note.;Sticky Fingers;Ambrata Legnosa;2019;Francesca Bianchi;30 ml;108;Coriandolo, Cannella;Iris, Patchouli;Castoreo, Cuoio, Tabacco;Patchouli, Tabacco, Cuoio;5060426150007;https://www.fragrantica.it/perfume/Francesca-Bianchi/Sticky-Fingers-57211.html;Italia
nicchia;Essential Parfums;2018;Alta profumeria sostenibile con creazioni raffinate.;The Musc;Floreale Muschiata;2018;Calice Becker;100 ml;82;Zenzero;Lavanda, Note Floreali;Muschio, Sandalo, Miele;Muschio, Cera d'api, Lavanda;3770014892028;https://www.fragrantica.it/perfume/Essential-Parfums/The-Musc-50511.html;Francia
nicchia;Laboratorio Olfattivo;2009;Officina creativa italiana basata su pura emozione e artigianalità.;Salina;Agrumata Marina;2013;David Maruitte;100 ml;105;Sale Marino, Limone;Mirto, Lavanda;Cedro, Vaniglia;Sale, Alghe, Limone;8050043461016;https://www.fragrantica.it/perfume/Laboratorio-Olfattivo/Salina-18153.html;Italia
nicchia;Byredo;2006;Brand minimalista con fragranze evanescenti e artigianali.;Blanche;Floreale Aldeidica;2009;Jerome Epinette;100 ml;205;Aldeidi, Rosa;Peonia, Violetta;Muschio, Legni;Aldeidi, Peonia, Muschio Bianco;7340032806113;https://www.fragrantica.it/perfume/Byredo/Blanche-7132.html;Svezia
nicchia;Simone Andreoli;2011;Diario olfattivo italiano che cattura ricordi di viaggi lontani.;Oceania;Agrumata Marina;2017;Simone Andreoli;100 ml;150;Arancia, Bergamotto;Note Marine, Pepe Rosa;Sandalo, Muschio;Note Marine, Ozono, Agrumi;8055641720050;https://www.fragrantica.it/perfume/Simone-Andreoli/Oceania-44336.html;Italia
nicchia;Vilhelm Parfumerie;2015;Estetica cinematografica che traduce storie d'amore in profumi.;Dear Polly;Agrumata Aromatica;2015;Jerome Epinette;100 ml;215;Bergamotto, Mela;Tè Nero;Ambra, Muschio, Betulla;Tè Nero, Bergamotto, Mela;3760298540301;https://www.fragrantica.it/perfume/Vilhelm-Parfumerie/Dear-Polly-31232.html;USA
nicchia;Montale;2003;Pioniere dell’Oud con persistenza elevata.;Intense Cafe;Ambrata Dolce - Gourmand;2013;Pierre Montale;100 ml;120;Note Floreali;Rosa, Caffè;Vaniglia, Ambra, Muschio;Caffè, Rosa, Vaniglia;3760260451666;https://www.fragrantica.it/perfume/Montale/Intense-Cafe-18021.html;Francia
nicchia;Acqua dell'Elba;2000;L'essenza marina e botanica tipica dell'Isola d'Elba.;Classica Men;Agrumata Legnosa;2001;Lab. Interno;100 ml;98;Mandarino, Limone;Rosmarino, Mare;Alga Marina, Muschio;Mandarino, Rosmarino, Legno di Cedro;8053229040010;https://www.fragrantica.it/perfume/Acqua-dell-Elba/Classica-Men-25757.html;Italia
nicchia;Maison Crivelli;2018;Momenti sensoriali reali vissuti durante viaggi attraverso il mondo.;Hibiscus Mahajád;Floreale Fruttata;2021;Quentin Bisch;50 ml;200;Ibisco, Spezie;Rosa, Vaniglia;Ambra, Cuoio;Ibisco, Rosa, Antracite;3760290750531;https://www.fragrantica.it/perfume/Maison-Crivelli/Hibiscus-Mahajad-69055.html;Francia
nicchia;Lorenzo Pazzaglia;2015;Brand italiano nato dalla passione di uno chef per fragranze estreme.;Carbonara;Ambrata Speziata;2020;Lorenzo Pazzaglia;50 ml;145;Pepe Rosa, Pepe Nero;Fumo, Resine, Cocco;Sandalo, Oud, Zucchero;Pepe Nero, Zafferano, Ambra;8054605151047;https://www.fragrantica.it/perfume/Lorenzo-Pazzaglia/Carbonara-63065.html;Italia
nicchia;Goldfield & Banks;2016;L'essenza spruzzata dal mare sulle rocce australiane soleggiate.;Sunset Hour;Floreale Fruttata;2021;Honorine Blanc;100 ml;165;Pera, Mandarino;Gelsomino, Zenzero;Sandalo, Muschio, Benzoino;Lampone, Pera, Sandalo;9350616000288;https://www.fragrantica.it/perfume/Goldfield-Banks-Australia/Sunset-Hour-70494.html;Australia
nicchia;Nasomatto;2007;Fragranze estreme e iconiche per collezionisti.;Duro;Legnosa;2007;Alessandro Gualtieri;30 ml;130;Note Speziate;Note Legnose;Cuoio;Legni scuri, Cuoio, Spezie;8717624960012;https://www.fragrantica.it/perfume/Nasomatto/Duro-4291.html;Paesi Bassi
nicchia;Parfums de Marly;2009;Lusso francese con omaggio all’epoca di Luigi XV.;Delina;Floreale Fruttata;2017;Quentin Bisch;75 ml;245;Litchi, Rabarbaro;Rosa Turca, Peonia;Vaniglia, Cashmeran;Rabarbaro, Litchi, Rosa Turca;3700578520008;https://www.fragrantica.it/perfume/Parfums-de-Marly/Delina-43871.html;Francia
nicchia;New Notes;2022;Contrasti vibranti tra agrumi frizzanti e molecole legnose moderne.;Latte di Cherry;Ambrata Dolce - Gourmand;2023;Lab. Interno;50;160;Ciliegia, Mandorla;Latte, Spezie;Vaniglia, Fava Tonka;Ciliegia, Latte, Vaniglia;8058100571501;https://www.fragrantica.it/perfume/New-Notes/Latte-di-Cherry-81677.html;Italia
nicchia;Giardini di Toscana;1942;Artigianalità toscana con fragranze gourmand.;BoraBora;Ambrata Floreale;2023;Silvia Martinelli;100 ml;145;Tiaré, Cocco;Ylang Ylang, Gelsomino;Vaniglia, Ambra;Tiaré, Cocco, Vaniglia;8055641720104;https://www.fragrantica.it/perfume/Giardini-di-Toscana/BoraBora-81152.html;Italia
nicchia;Creed;1760;Icona di nicchia con note fruttate e affumicate.;Silver Mountain;Agrumata Aromatica;1995;Olivier Creed;100 ml;265;Bergamotto, Mandarino;Tè Verde, Ribes Nero;Muschio, Petitgrain;Tè Verde, Ribes Nero, Muschio;3508441104655;https://www.fragrantica.it/perfume/Creed/Silver-Mountain-Water-472.html;Francia
nicchia;Orto Parisi;2014;Alessandro Gualtieri celebra la forza primordiale del mare.;Boccanera;Ambrata Dolce - Gourmand;2014;Alessandro Gualtieri;50 ml;145;Pepe Nero, Capsico;Cioccolato Fondente;Sandalo, Muschio;Cioccolato Fondente, Zenzero, Peperoncino;8717624960418;https://www.fragrantica.it/perfume/Orto-Parisi/Boccanera-24260.html;Italia
nicchia;By Kilian;2007;Lusso parigino ispirato al cognac tra seduzione e ricaricabilità.;Black Phantom;Ambrata Dolce - Gourmand;2017;Sidonie Lancesseur;50 ml;235;Rum, Canna da Zucchero;Caffè, Mandorla;Caramello, Sandalo;Caffè, Rum, Cioccolato;3700550218145;https://www.fragrantica.it/perfume/By-Kilian/Black-Phantom-43632.html;Francia
nicchia;Serge Lutens;1962;Iconica maison parigina con fragranze profonde e narrative.;Chergui;Ambrata Speziata;2001;Christopher Sheldrake;50 ml;135;Tabacco, Miele;Iris, Incenso;Ambra, Sandalo;Tabacco, Miele, Ambra;3700358123396;https://www.fragrantica.it/perfume/Serge-Lutens/Chergui-2762.html;Francia
nicchia;Byredo;2006;Brand minimalista con fragranze evanescenti e artigianali.;Mojave Ghost;Floreale Legnosa Muschiata;2014;Jerome Epinette;100 ml;205;Ambretta, Sapodilla;Magnolia, Violetta;Sandalo, Ambra Grigia;Sapotiglia, Magnolia, Sandalo;7340032810608;https://www.fragrantica.it/perfume/Byredo/Mojave-Ghost-27040.html;Svezia
nicchia;Diptyque;1961;Storica maison parigina famosa per eleganza e tessuti.;Tam Dao;Legnosa;2003;Daniel Moliere;75 ml;165;Rosa, Mirto;Sandalo, Cedro;Ambra, Muschio;Sandalo, Cedro, Cipresso;3700431405746;https://www.fragrantica.it/perfume/Diptyque/Tam-Dao-3843.html;Francia
nicchia;Lorenzo Villoresi;1990;Maestro fiorentino celebre per creazioni d'ispirazione classica, spezie orientali e atmosfere toscane.;Teint de Neige;Floreale Muschiata;2000;Lorenzo Villoresi;100 ml;145;Cipria, Rosa;Gelsomino, Ylang Ylang;Muschio, Eliotropio;Note Polverose, Eliotropio, Muschio;8023131301019;https://www.fragrantica.it/perfume/Lorenzo-Villoresi/Teint-de-Neige-5056.html;Italia
nicchia;Essential Parfums;2018;Alta profumeria sostenibile con creazioni raffinate.;Fig Infusion;Legnosa Fruttata;2022;Nathalie Lorson;100 ml;82;Fico, Mandarino;Tè Nero, Iris;Sandalo, Cedro;Fico, Tè Nero, Sandalo;3770014892189;https://www.fragrantica.it/perfume/Essential-Parfums/Fig-Infusion-73062.html;Francia
nicchia;BeauFort London;2015;Profumeria artistica britannica ispirata alla storia navale, con note oscure, fumose e drammatiche.;Terror & Magnificence;Cuoiata Affumicata;2019;Tom Fontane;50 ml;145;Zafferano, Pepe;Incenso, Catrame;Benzoino, Labdano;Incenso, Catrame di Betulla, Polvere da Sparo;5060426150144;#N/D;UK
nicchia;Histoires de Parfums;2000;"Una ""biblioteca olfattiva"" dove ogni fragranza racconta la storia di personaggi o anni iconici.";1899 Hemingway;Ambrata Speziata;2013;Gerald Ghislain;60 ml;115;Ginepro, Bergamotto;Iris, Cannella;Vaniglia, Vetiver;Ginepro, Cannella, Vaniglia;3760218880514;https://www.fragrantica.it/perfume/Histoires-de-Parfums/1899-Hemingway-18846.html;Francia
nicchia;Penhaligon's;1870;Storica casa britannica intrisa di nobile stravaganza e narrazione.;Lord George;Ambrata Legnosa;2016;Alberto Morillas;75 ml;255;Brandy;Note di Sapone;Fava Tonka, Ambra;Brandy, Fava Tonka, Ambra;793675975191;https://www.fragrantica.it/perfume/Penhaligon-s/The-Tragedy-of-Lord-George-40731.html;UK
nicchia;Nishane;2012;Brand di Istanbul che fonde tradizioni orientali e avanguardia.;Hundred Silent Ways;Ambrata Floreale;2016;Lab. Interno;50 ml;175;Pesca, Mandarino;Tuberosa, Gardenia;Vaniglia, Sandalo;Tuberosa, Pesca, Gardenia;8681223041055;https://www.fragrantica.it/perfume/Nishane/Hundred-Silent-Ways-37888.html;Turchia
nicchia;Montale;2003;Pioniere dell’Oud con persistenza elevata.;Honey Aoud;Legnosa Orientale Oud;2015;Pierre Montale;100 ml;120;Miele, Cannella;Note Floreali, Patchouli;Oud, Ambra, Cuoio;Miele, Oud, Cannella;3760260451673;https://www.fragrantica.it/perfume/Montale/Honey-Aoud-30310.html;Francia
nicchia;Memo Paris;2007;Fragranze ispirate ai viaggi e alle esperienze olfattive.;Italian Leather;Cuoiata Aromatica;2013;Alienor Massenet;75 ml;235;Foglia di Pomodoro;Galbano, Salvia;Cuoio, Vaniglia;Cuoio, Foglia di Pomodoro, Galbano;3700454012111;https://www.fragrantica.it/perfume/Memo-Paris/Italian-Leather-21303.html;Francia
nicchia;Laboratorio Olfattivo;2009;Officina creativa italiana basata su pura emozione e artigianalità.;Need_U;Floreale Muschiata;2018;Marie Duchene;100 ml;105;Limone, Pepe Rosa;Fiori Bianchi, Mare;Muschio, Ambroxan;Limone, Pepe Rosa, Ambroxan;8050043462228;https://www.fragrantica.it/perfume/Laboratorio-Olfattivo/Need-U-49190.html;Italia
nicchia;Juliette Has A Gun;2006;Fragranze minimaliste con un’idea concettuale e distintiva.;Vanilla Vibes;Ambrata Marina;2019;Romano Ricci;100 ml;120;Sale Marino;Assoluta di Vaniglia;Orchidea, Muschio;Sale, Vaniglia, Orchidea;3760022730519;https://www.fragrantica.it/perfume/Juliette-Has-A-Gun/Vanilla-Vibes-55091.html;Francia
nicchia;BDK Parfums;2016;Libreria olfattiva parigina situata nel cuore del Palais Royal.;Rouge Smoking;Ambrata Dolce - Gourmand;2018;Amelie Bourgeois;100 ml;170;Ciliegia, Pepe Rosa;Eliotropio, Fiori d'Arancio;Vaniglia, Tonka;Ciliegia, Vaniglia, Eliotropio;3760264450016;https://www.fragrantica.it/perfume/BDK-Parfums/Rouge-Smoking-51347.html;Francia
nicchia;Amouage;1983;Lusso regale con ingredienti esotici e tradizione millenaria.;Beach Hut Man;Legnosa Aromatica;2017;Elise Benat;100 ml;320;Menta, Galbano;Edera, Vetiver;Mirra, Patchouli;Menta, Galbano, Vetiver;701666311898;https://www.fragrantica.it/perfume/Amouage/Beach-Hut-Man-46336.html;Oman
nicchia;Parfums de Marly;2009;Lusso francese con omaggio all’epoca di Luigi XV.;Herod;Ambrata Legnosa;2012;Olivier Pescheux;125 ml;245;Cannella, Pepe;Foglie di Tabacco, Incenso;Vaniglia, Musk;Tabacco, Vaniglia, Cannella;3700578507009;https://www.fragrantica.it/perfume/Parfums-de-Marly/Herod-16939.html;Francia
nicchia;Mancera;2008;Sinergia tra design moderno e ingredienti mediorientali di potenza.;Cedrat Boise;Agrumata Legnosa;2011;Pierre Montale;120 ml;145;Agrumi, Ribes Nero;Patchouli, Gelsomino;Cuoio, Legno di Cedro;Limone, Ribes Nero, Cedro;3760260452144;https://www.fragrantica.it/perfume/Mancera/Cedrat-Boise-15211.html;Francia
nicchia;Profumum Roma;1996;Maison romana nota per l'altissima concentrazione di oli puri.;Ichnusa;Chypre Verde;1996;Lab. Interno;100 ml;250;Foglie di Fico;Mirto, Erba Tagliata;Fieno;Fico, Mirto, Erba Tagliata;8024985002072;https://www.fragrantica.it/perfume/Profumum-Roma/Ichnusa-3891.html;Italia
nicchia;Lorenzo Pazzaglia;2015;Brand italiano nato dalla passione di uno chef per fragranze estreme.;Black Sea;Agrumata Marina;2019;Lorenzo Pazzaglia;50 ml;145;Sale, Ozono;Note Marine;Ambra Grigia, Muschio;Sale, Note Marine, Ozono;8054605151016;https://www.fragrantica.it/perfume/Lorenzo-Pazzaglia/Black-Sea-57353.html;Italia
nicchia;Etro;1989;Traduzione olfattiva dell'omonima casa di moda: fragranze eclettiche, speziate e perfette per il layering.;Shaal Nur;Ambrata Speziata;1997;Lab. Interno;100 ml;140;Limone, Bergamotto;Incenso, Rosa;Vetiver, Ambra;Incenso, Coriandolo, Vetiver;8026241010015;https://www.fragrantica.it/perfume/Etro/Shaal-Nur-3151.html;Italia
nicchia;Acqua di Portofino;2000;Celebrazione del borgo ligure e dello stile di vita mediterraneo attraverso note marine e floreali.;369;Agrumata Marina;2015;Lab. Interno;100 ml;125;Pepe Rosa, Agrumi;Orchidea;Vaniglia, Muschio;Note Marine, Mandarino, Ambra;8026241010034;https://www.fragrantica.it/perfume/Acqua-di-Portofino/369-3152.html;Italia
nicchia;Nasomatto;2007;Fragranze estreme e iconiche per collezionisti.;Narcotic V.;Monofloreale;2007;Alessandro Gualtieri;30 ml;130;Tuberosa, Gelsomino;Giglio;Note Speziate;Tuberosa, Gelsomino, Giglio;8717624960142;https://www.fragrantica.it/perfume/Nasomatto/Narcotic-Venus-4293.html;Paesi Bassi
nicchia;Tiziana Terenzi;1968;Tradizione familiare di maestri cerai in fragranze di lusso.;Laudano Nero;Ambrata Legnosa;2014;Paolo Terenzi;100 ml;145;Assenzio, Cognac;Incenso, Cenere;Labdano, Sandalo;Labdano, Cognac, Cenere;8016741172476;https://www.fragrantica.it/perfume/Tiziana-Terenzi/Laudano-Nero-28312.html;Italia
nicchia;Essential Parfums;2018;Alta profumeria sostenibile con creazioni raffinate.;Divine Vanille;Ambrata Speziata;2019;Olivier Pescheux;100 ml;82;Cannella, Salvia;Incenso, Osmanto;Vaniglia, Tonka;Vaniglia, Rum, Cannella;3770014892042;https://www.fragrantica.it/perfume/Essential-Parfums/Divine-Vanille-57448.html;Francia
nicchia;Meo Fusciuni;2010;Profumeria filosofica ispirata ai cicli della natura e solitudine.;Last Season;Legnosa Aromatica;2023;Giuseppe Imprezzabile;100 ml;210;Elicriso, Alghe;Terra, Pino;Muschio, Mate;Pino, Fieno, Alga;8055681290117;https://www.fragrantica.it/perfume/Meo-Fusciuni/Last-Season-84512.html;Italia
nicchia;Zarkoperfume;2014;Brand danese specializzato in profumi molecolari che reagiscono chimicamente al calore della pelle.;Molecule 234.38;Floreale Muschiata;2014;Zarko Ahlmann Pavlov;100 ml;145;Molecola 234.38;(Evoluzione su Pelle);(Evoluzione su Pelle);Iso E Super, Muschio;5712590000010;https://www.fragrantica.it/perfume/Zarkoperfume/Molecule-234-38-23582.html;Danimarca
nicchia;Goutal Paris;1981;Icona della raffinatezza parigina: fragranze poetiche e senza tempo nate dalla visione di Annick Goutal.;Eau d'Hadrien;Agrumata;1981;Annick Goutal;100 ml;165;Limone, Cedro;Cipresso;Aldeidi;Limone, Pompelmo, Cipresso;711367101569;https://www.fragrantica.it/perfume/Goutal/Eau-d-Hadrien-756.html;Francia
nicchia;Miller Harris;2000;L'unione tra la tecnica della profumeria francese e lo spirito bohémien e urbano della Londra moderna.;Tea Tonique;Agrumata Aromatica;2015;Lyn Harris;100 ml;165;Bergamotto;Tè Nero, Mate;Muschio, Betulla;Tè Nero, Bergamotto, Mate;5055145800005;https://www.fragrantica.it/perfume/Miller-Harris/Tea-Tonique-30792.html;UK
nicchia;Laboratorio Olfattivo;2009;Officina creativa italiana basata su pura emozione e artigianalità.;Baliflora;Monofloreale;2019;J.C. Ellena;100;110;Mandarino;Frangipani, Giglio;Musk;Frangipani, Gelsomino;8050043431100;https://www.fragrantica.com/perfume/Laboratorio-Olfattivo/Baliflora-54851.html;Italia
